,Region,Codigo region,Poblacion,fecha,Cantidad
0,Arica y Parinacota,15,252110,2020-04-09,70
1,Arica y Parinacota,15,252110,2020-04-10,-
2,Arica y Parinacota,15,252110,2020-04-11,-
3,Arica y Parinacota,15,252110,2020-04-12,103
4,Arica y Parinacota,15,252110,2020-04-13,-
5,Arica y Parinacota,15,252110,2020-04-14,93
6,Arica y Parinacota,15,252110,2020-04-15,24
7,Arica y Parinacota,15,252110,2020-04-16,198
8,Arica y Parinacota,15,252110,2020-04-17,131
9,Arica y Parinacota,15,252110,2020-04-18,-
10,Arica y Parinacota,15,252110,2020-04-19,155
11,Arica y Parinacota,15,252110,2020-04-20,48
12,Tarapaca,1,382773,2020-04-09,-
13,Tarapaca,1,382773,2020-04-10,-
14,Tarapaca,1,382773,2020-04-11,-
15,Tarapaca,1,382773,2020-04-12,-
16,Tarapaca,1,382773,2020-04-13,-
17,Tarapaca,1,382773,2020-04-14,-
18,Tarapaca,1,382773,2020-04-15,-
19,Tarapaca,1,382773,2020-04-16,30
20,Tarapaca,1,382773,2020-04-17,-
21,Tarapaca,1,382773,2020-04-18,60
22,Tarapaca,1,382773,2020-04-19,0
23,Tarapaca,1,382773,2020-04-20,0
24,Antofagasta,2,691854,2020-04-09,182
25,Antofagasta,2,691854,2020-04-10,128
26,Antofagasta,2,691854,2020-04-11,107
27,Antofagasta,2,691854,2020-04-12,175
28,Antofagasta,2,691854,2020-04-13,103
29,Antofagasta,2,691854,2020-04-14,95
30,Antofagasta,2,691854,2020-04-15,117
31,Antofagasta,2,691854,2020-04-16,117
32,Antofagasta,2,691854,2020-04-17,143
33,Antofagasta,2,691854,2020-04-18,200
34,Antofagasta,2,691854,2020-04-19,129
35,Antofagasta,2,691854,2020-04-20,197
36,Atacama,3,314709,2020-04-09,57
37,Atacama,3,314709,2020-04-10,52
38,Atacama,3,314709,2020-04-11,60
39,Atacama,3,314709,2020-04-12,25
40,Atacama,3,314709,2020-04-13,20
41,Atacama,3,314709,2020-04-14,22
42,Atacama,3,314709,2020-04-15,25
43,Atacama,3,314709,2020-04-16,29
44,Atacama,3,314709,2020-04-17,37
45,Atacama,3,314709,2020-04-18,50
46,Atacama,3,314709,2020-04-19,31
47,Atacama,3,314709,2020-04-20,33
48,Coquimbo,4,836096,2020-04-09,-
49,Coquimbo,4,836096,2020-04-10,-
50,Coquimbo,4,836096,2020-04-11,-
51,Coquimbo,4,836096,2020-04-12,-
52,Coquimbo,4,836096,2020-04-13,-
53,Coquimbo,4,836096,2020-04-14,-
54,Coquimbo,4,836096,2020-04-15,-
55,Coquimbo,4,836096,2020-04-16,-
56,Coquimbo,4,836096,2020-04-17,-
57,Coquimbo,4,836096,2020-04-18,-
58,Coquimbo,4,836096,2020-04-19,-
59,Coquimbo,4,836096,2020-04-20,-
60,Valparaiso,5,1960170,2020-04-09,301
61,Valparaiso,5,1960170,2020-04-10,249
62,Valparaiso,5,1960170,2020-04-11,248
63,Valparaiso,5,1960170,2020-04-12,273
64,Valparaiso,5,1960170,2020-04-13,223
65,Valparaiso,5,1960170,2020-04-14,92
66,Valparaiso,5,1960170,2020-04-15,385
67,Valparaiso,5,1960170,2020-04-16,240
68,Valparaiso,5,1960170,2020-04-17,246
69,Valparaiso,5,1960170,2020-04-18,330
70,Valparaiso,5,1960170,2020-04-19,166
71,Valparaiso,5,1960170,2020-04-20,177
72,Metropolitana,13,8125072,2020-04-09,5383
73,Metropolitana,13,8125072,2020-04-10,3158
74,Metropolitana,13,8125072,2020-04-11,2105
75,Metropolitana,13,8125072,2020-04-12,3861
76,Metropolitana,13,8125072,2020-04-13,1850
77,Metropolitana,13,8125072,2020-04-14,1656
78,Metropolitana,13,8125072,2020-04-15,2694
79,Metropolitana,13,8125072,2020-04-16,4356
80,Metropolitana,13,8125072,2020-04-17,3670
81,Metropolitana,13,8125072,2020-04-18,2744
82,Metropolitana,13,8125072,2020-04-19,3475
83,Metropolitana,13,8125072,2020-04-20,3276
84,Del Libertador General Bernardo O’Higgins,6,991063,2020-04-09,68
85,Del Libertador General Bernardo O’Higgins,6,991063,2020-04-10,-
86,Del Libertador General Bernardo O’Higgins,6,991063,2020-04-11,74
87,Del Libertador General Bernardo O’Higgins,6,991063,2020-04-12,-
88,Del Libertador General Bernardo O’Higgins,6,991063,2020-04-13,74
89,Del Libertador General Bernardo O’Higgins,6,991063,2020-04-14,30
90,Del Libertador General Bernardo O’Higgins,6,991063,2020-04-15,30
91,Del Libertador General Bernardo O’Higgins,6,991063,2020-04-16,58
92,Del Libertador General Bernardo O’Higgins,6,991063,2020-04-17,50
93,Del Libertador General Bernardo O’Higgins,6,991063,2020-04-18,-
94,Del Libertador General Bernardo O’Higgins,6,991063,2020-04-19,0
95,Del Libertador General Bernardo O’Higgins,6,991063,2020-04-20,72
96,Maule,7,1131939,2020-04-09,397
97,Maule,7,1131939,2020-04-10,219
98,Maule,7,1131939,2020-04-11,-
99,Maule,7,1131939,2020-04-12,341
100,Maule,7,1131939,2020-04-13,113
101,Maule,7,1131939,2020-04-14,160
102,Maule,7,1131939,2020-04-15,-
103,Maule,7,1131939,2020-04-16,469
104,Maule,7,1131939,2020-04-17,367
105,Maule,7,1131939,2020-04-18,176
106,Maule,7,1131939,2020-04-19,0
107,Maule,7,1131939,2020-04-20,328
108,Nuble,16,511551,2020-04-09,364
109,Nuble,16,511551,2020-04-10,-
110,Nuble,16,511551,2020-04-11,259
111,Nuble,16,511551,2020-04-12,189
112,Nuble,16,511551,2020-04-13,65
113,Nuble,16,511551,2020-04-14,-
114,Nuble,16,511551,2020-04-15,-
115,Nuble,16,511551,2020-04-16,110
116,Nuble,16,511551,2020-04-17,159
117,Nuble,16,511551,2020-04-18,76
118,Nuble,16,511551,2020-04-19,127
119,Nuble,16,511551,2020-04-20,149
120,Biobio,8,1663696,2020-04-09,592
121,Biobio,8,1663696,2020-04-10,149
122,Biobio,8,1663696,2020-04-11,281
123,Biobio,8,1663696,2020-04-12,469
124,Biobio,8,1663696,2020-04-13,
125,Biobio,8,1663696,2020-04-14,218
126,Biobio,8,1663696,2020-04-15,311
127,Biobio,8,1663696,2020-04-16,408
128,Biobio,8,1663696,2020-04-17,80
129,Biobio,8,1663696,2020-04-18,751
130,Biobio,8,1663696,2020-04-19,358
131,Biobio,8,1663696,2020-04-20,214
132,La Araucania,9,1014343,2020-04-09,124
133,La Araucania,9,1014343,2020-04-10,148
134,La Araucania,9,1014343,2020-04-11,126
135,La Araucania,9,1014343,2020-04-12,184
136,La Araucania,9,1014343,2020-04-13,232
137,La Araucania,9,1014343,2020-04-14,148
138,La Araucania,9,1014343,2020-04-15,218
139,La Araucania,9,1014343,2020-04-16,246
140,La Araucania,9,1014343,2020-04-17,220
141,La Araucania,9,1014343,2020-04-18,169
142,La Araucania,9,1014343,2020-04-19,122
143,La Araucania,9,1014343,2020-04-20,376
144,Los Rios,14,405835,2020-04-09,-
145,Los Rios,14,405835,2020-04-10,91
146,Los Rios,14,405835,2020-04-11,-
147,Los Rios,14,405835,2020-04-12,-
148,Los Rios,14,405835,2020-04-13,-
149,Los Rios,14,405835,2020-04-14,67
150,Los Rios,14,405835,2020-04-15,67
151,Los Rios,14,405835,2020-04-16,49
152,Los Rios,14,405835,2020-04-17,71
153,Los Rios,14,405835,2020-04-18,91
154,Los Rios,14,405835,2020-04-19,0
155,Los Rios,14,405835,2020-04-20,121
156,Los Lagos,10,891440,2020-04-09,341
157,Los Lagos,10,891440,2020-04-10,199
158,Los Lagos,10,891440,2020-04-11,178
159,Los Lagos,10,891440,2020-04-12,225
160,Los Lagos,10,891440,2020-04-13,39
161,Los Lagos,10,891440,2020-04-14,131
162,Los Lagos,10,891440,2020-04-15,137
163,Los Lagos,10,891440,2020-04-16,139
164,Los Lagos,10,891440,2020-04-17,198
165,Los Lagos,10,891440,2020-04-18,315
166,Los Lagos,10,891440,2020-04-19,96
167,Los Lagos,10,891440,2020-04-20,139
168,Aysen,11,107297,2020-04-09,10
169,Aysen,11,107297,2020-04-10,-
170,Aysen,11,107297,2020-04-11,
171,Aysen,11,107297,2020-04-12,7
172,Aysen,11,107297,2020-04-13,-
173,Aysen,11,107297,2020-04-14,12
174,Aysen,11,107297,2020-04-15,8
175,Aysen,11,107297,2020-04-16,16
176,Aysen,11,107297,2020-04-17,8
177,Aysen,11,107297,2020-04-18,8
178,Aysen,11,107297,2020-04-19,6
179,Aysen,11,107297,2020-04-20,0
180,Magallanes y la Antartica,12,178362,2020-04-09,73
181,Magallanes y la Antartica,12,178362,2020-04-10,24
182,Magallanes y la Antartica,12,178362,2020-04-11,46
183,Magallanes y la Antartica,12,178362,2020-04-12,45
184,Magallanes y la Antartica,12,178362,2020-04-13,45
185,Magallanes y la Antartica,12,178362,2020-04-14,35
186,Magallanes y la Antartica,12,178362,2020-04-15,63
187,Magallanes y la Antartica,12,178362,2020-04-16,86
188,Magallanes y la Antartica,12,178362,2020-04-17,69
189,Magallanes y la Antartica,12,178362,2020-04-18,48
190,Magallanes y la Antartica,12,178362,2020-04-19,93
191,Magallanes y la Antartica,12,178362,2020-04-20,48
